date       ,temperature ,wind_speed ,wind_degree ,weather_code ,precip               ,humidity ,visibility ,pressure ,cloudcover ,heatindex ,dewpoint ,windchill ,windgust ,feelslike ,chanceofrain ,chanceofremdry ,chanceofwindy ,chanceofovercast ,chanceofsunshine ,chanceoffrost ,chanceofhightemp ,chanceoffog ,chanceofsnow ,chanceofthunder ,uv_index
2023-05-05 ,     12.125 ,     6.375 ,    213.5   ,     116.75  ,0.0                  ,  69.125 ,    10.0   ,1019.875 ,    43.125 ,   12.125 ,5.5      ,   11.625 ,  12.375 ,   11.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.5
2023-05-06 ,     14.375 ,     4.125 ,     92.75  ,     117.875 ,0.0                  ,  65.125 ,    10.0   ,1023.75  ,    63.875 ,   14.375 ,7.0      ,   14.375 ,   9.0   ,   14.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.25
2023-05-07 ,     18.125 ,     5.0   ,    216.25  ,     146.375 ,0.1625               ,  69.5   ,    10.0   ,1018.25  ,    46.75  ,   18.625 ,12.625   ,   18.125 ,  11.5   ,   18.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-05-08 ,     20.75  ,     7.875 ,    230.25  ,     119.75  ,0.0                  ,  80.5   ,     6.125 ,1011.625 ,    82.625 ,   21.25  ,16.5     ,   20.75  ,  17.25  ,   21.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-09 ,     16.0   ,     7.375 ,    152.25  ,     147.875 ,0.0625               ,  88.25  ,     8.0   ,1011.125 ,    81.625 ,   16.0   ,12.875   ,   15.875 ,  14.25  ,   15.875 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.375
2023-05-10 ,     15.375 ,     6.625 ,    290.5   ,     113.0   ,0.0                  ,  65.625 ,     7.0   ,1021.625 ,     9.375 ,   16.0   ,7.625    ,   15.125 ,  10.625 ,   15.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-11 ,     18.375 ,     6.75  ,    216.875 ,     113.0   ,0.0                  ,  67.0   ,    10.0   ,1021.5   ,    12.375 ,   18.5   ,11.25    ,   18.125 ,  11.75  ,   18.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-12 ,     21.125 ,     6.75  ,    233.875 ,     114.125 ,0.0                  ,  68.625 ,    10.0   ,1019.75  ,    23.625 ,   21.875 ,14.875   ,   21.0   ,  11.375 ,   21.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-05-13 ,     20.0   ,     5.875 ,    129.125 ,     201.5   ,0.85                 ,  87.625 ,     8.0   ,1018.875 ,    86.75  ,   20.5   ,17.5     ,   20.0   ,  13.0   ,   20.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-14 ,     18.875 ,     9.5   ,    151.125 ,     115.625 ,0.0                  ,  61.75  ,     9.0   ,1021.625 ,    38.5   ,   19.5   ,10.5     ,   18.75  ,  15.125 ,   19.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-15 ,     17.75  ,     7.375 ,    176.125 ,     114.125 ,0.0                  ,  49.625 ,    10.0   ,1024.0   ,    17.25  ,   18.125 ,6.25     ,   17.375 ,  14.75  ,   17.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-16 ,     17.25  ,     8.875 ,    234.625 ,     130.25  ,0.0625               ,  81.25  ,     8.375 ,1012.0   ,    41.375 ,   17.875 ,12.75    ,   16.875 ,  17.875 ,   17.125 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-05-17 ,     17.5   ,    13.875 ,    216.375 ,     137.75  ,0.1375               ,  60.75  ,    10.0   ,1010.375 ,    21.625 ,   18.0   ,8.125    ,   17.25  ,  23.0   ,   17.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-18 ,     15.0   ,    10.375 ,     81.25  ,     113.0   ,0.0                  ,  45.375 ,    10.0   ,1022.875 ,     1.5   ,   15.25  ,3.0      ,   14.5   ,  19.375 ,   14.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.75
2023-05-19 ,     16.375 ,    11.125 ,    138.75  ,     117.125 ,0.0                  ,  69.875 ,     9.0   ,1023.75  ,    50.25  ,   16.875 ,9.875    ,   16.25  ,  20.25  ,   16.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-20 ,     18.5   ,     5.875 ,    241.375 ,     125.375 ,0.037500000000000006 ,  80.0   ,     6.5   ,1016.125 ,    63.5   ,   19.0   ,13.875   ,   18.5   ,  10.625 ,   19.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-05-21 ,     18.5   ,    12.375 ,    305.75  ,     136.625 ,0.08750000000000001  ,  62.125 ,    10.0   ,1016.875 ,    21.0   ,   18.5   ,10.25    ,   18.25  ,  21.25  ,   18.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-22 ,     19.75  ,     7.625 ,    123.25  ,     113.375 ,0.0                  ,  59.5   ,    10.0   ,1019.75  ,    18.625 ,   19.875 ,11.125   ,   19.75  ,  15.0   ,   19.875 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.375
2023-05-23 ,     17.625 ,    10.625 ,     85.0   ,     113.0   ,0.0                  ,  64.75  ,    10.0   ,1024.125 ,    15.25  ,   17.75  ,10.0     ,   17.625 ,  18.375 ,   17.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-24 ,     17.5   ,     6.5   ,     71.125 ,     117.125 ,0.0                  ,  61.25  ,    10.0   ,1018.125 ,    46.5   ,   17.75  ,8.375    ,   17.25  ,  13.0   ,   17.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.75
2023-05-25 ,     16.625 ,    12.25  ,     18.875 ,     114.5   ,0.0                  ,  45.75  ,    10.0   ,1019.25  ,    21.0   ,   17.0   ,4.125    ,   15.875 ,  21.375 ,   16.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-26 ,     16.375 ,     9.375 ,     54.625 ,     113.0   ,0.0                  ,  52.75  ,    10.0   ,1022.875 ,     7.25  ,   16.75  ,6.25     ,   16.375 ,  16.125 ,   16.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-05-27 ,     16.875 ,    12.125 ,     76.75  ,     113.0   ,0.0                  ,  52.125 ,    10.0   ,1025.625 ,     9.75  ,   17.125 ,6.125    ,   16.75  ,  19.375 ,   16.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-05-28 ,     15.625 ,    10.25  ,     45.625 ,     155.375 ,0.23750000000000002  ,  82.0   ,     9.5   ,1021.0   ,    73.5   ,   15.625 ,11.0     ,   15.25  ,  19.875 ,   15.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.375
2023-05-29 ,     17.875 ,    11.375 ,     49.625 ,     216.125 ,0.4                  ,  96.0   ,     8.75  ,1015.875 ,   100.0   ,   17.875 ,16.5     ,   17.75  ,  20.125 ,   17.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.625
